JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457967.33149,10.946,0.010,,B,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=9.867|VERR=0.010|CREFMAG=12.579|CREFERR=0.050|KREFMAG=12.953|KREFERR=0.048|VX=1.5445|CX=1.5420|KX=1.5463|TB_BV=0.0210|TB_BVERR=0.0340|TAVER=2.49,1,1.545,Z,11.499,11.925,,PDS 110,AAVSO,STD,104,,,
2457967.33201,10.429,0.006,,V,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=9.128|VERR=0.005|CREFMAG=11.995|CREFERR=0.014|KREFMAG=12.299|KREFERR=0.015|VX=1.5401|CX=1.5376|KX=1.5419|TV_BV=-0.0170|TV_BVERR=0.0330|TAVER=2.49,1,1.541,Z,10.695,11.034,,PDS 110,AAVSO,STD,103,,,
2457967.33225,10.429,0.006,,V,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=9.140|VERR=0.006|CREFMAG=11.995|CREFERR=0.014|KREFMAG=12.299|KREFERR=0.015|VX=1.5381|CX=1.5356|KX=1.5398|TV_BV=-0.0170|TV_BVERR=0.0330|TAVER=2.49,1,1.539,Z,10.707,11.058,,PDS 110,AAVSO,STD,104,,,
2457967.33284,9.797,0.007,,I,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=9.588|VERR=0.007|CREFMAG=11.291|CREFERR=0.037|KREFMAG=11.566|KREFERR=0.040|VX=1.5331|CX=1.5307|KX=1.5349|TI_VI=-0.0080|TI_VIERR=0.0220|TAVER=2.49,1,1.534,Z,11.083,11.365,,PDS 110,AAVSO,STD,103,,,
2457967.33310,9.804,0.009,,I,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=9.597|VERR=0.009|CREFMAG=11.291|CREFERR=0.037|KREFMAG=11.566|KREFERR=0.040|VX=1.5310|CX=1.5286|KX=1.5327|TI_VI=-0.0080|TI_VIERR=0.0220|TAVER=2.49,1,1.532,Z,11.085,11.369,,PDS 110,AAVSO,STD,104,,,
2457967.33367,10.100,0.004,,R,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=8.885|VERR=0.004|CREFMAG=11.632|CREFERR=0.028|KREFMAG=11.921|KREFERR=0.030|VX=1.5263|CX=1.5239|KX=1.5280|TR_VI=-0.0150|TR_VIERR=0.0140|TAVER=2.49,1,1.527,Z,10.418,10.713,,PDS 110,AAVSO,STD,103,,,
2457967.33391,10.089,0.006,,R,MGW,,000-BMH-802,000-BMH-803,X19936NH,T50 - SIDING SPRING|VMAGINS=8.875|VERR=0.006|CREFMAG=11.632|CREFERR=0.028|KREFMAG=11.921|KREFERR=0.030|VX=1.5243|CX=1.5219|KX=1.5260|TR_VI=-0.0150|TR_VIERR=0.0140|TAVER=2.49,1,1.525,Z,10.419,10.707,,PDS 110,AAVSO,STD,104,,,
2457967.93167,10.892,0.015,,B,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 12.201  K = 11.955,0,1.46,Z,19.011,18.763,,PDS 110,VVS,STD,,,,
2457967.93206,10.885,0.015,,B,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 12.201  K = 11.955,0,1.46,Z,19.030,18.774,,PDS 110,VVS,STD,,,,
2457967.93248,10.415,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.45,Z,18.015,18.074,,PDS 110,VVS,STD,,,,
